article,word,meaning,rule
der,Computer,computer,er_m
der,Drucker,printer,er_m
der,Koffer,suitcase,er_m
der,Lehrer,teacher (m),er_m
der,Fahrer,driver (m),er_m
der,Arbeiter,worker (m),er_m
der,Sprecher,speaker (m),er_m
der,Schüler,pupil (m),er_m
der,Käufer,buyer (m),er_m
der,Verkäufer,seller (m),er_m
der,Fehler,mistake,er_m
der,Finger,finger,er_m
der,Hunger,hunger,er_m
die,Butter,butter,er_f_exc
die,Mutter,mother,er_f_exc
das,Fenster,window,er_n_exc
der,Garten,garden,en_m
der,Boden,floor / ground,en_m
der,Wagen,car / wagon,en_m
der,Hafen,harbour,en_m
der,Faden,thread,en_m
der,Ofen,oven,en_m
der,Schlüssel,key,el_m
der,Mantel,coat,el_m
der,Löffel,spoon,el_m
der,Gürtel,belt,el_m
der,Stempel,stamp,el_m
der,Titel,title,el_m
der,Honig,honey,ig
der,Essig,vinegar,ig
der,König,king,ig
der,Käfig,cage,ig
der,Pfennig,penny,ig
der,Teppich,carpet,ich
der,Bereich,area / field,ich
der,Rettich,radish,ich
der,Strich,line / stroke,ich
der,Teich,pond,ich
der,Lehrling,apprentice,ling
der,Schmetterling,butterfly,ling
der,Frühling,spring,ling
der,Liebling,darling / favourite,ling
der,Säugling,infant,ling
der,Zwilling,twin,ling
der,Student,student,ent
der,Patient,patient,ent
der,Präsident,president,ent
der,Assistent,assistant,ent
der,Dozent,lecturer,ent
der,Dirigent,conductor,ent
der,Praktikant,intern,ant
der,Musikant,musician,ant
der,Elefant,elephant,ant
der,Demonstrant,demonstrator,ant
der,Lieferant,supplier,ant
der,Tourist,tourist,ist
der,Polizist,police officer,ist
der,Optimist,optimist,ist
der,Journalist,journalist,ist
der,Pianist,pianist,ist
der,Motor,motor / engine,or_m
der,Autor,author,or_m
der,Doktor,doctor,or_m
der,Senator,senator,or_m
der,Reaktor,reactor,or_m
der,Traktor,tractor,or_m
der,Tourismus,tourism,ismus
der,Kapitalismus,capitalism,ismus
der,Optimismus,optimism,ismus
der,Realismus,realism,ismus
der,Sozialismus,socialism,ismus
der,Journalismus,journalism,ismus
die,Übung,exercise,ung
die,Zeitung,newspaper,ung
die,Wohnung,apartment,ung
die,Meinung,opinion,ung
die,Lösung,solution,ung
die,Erfahrung,experience,ung
die,Ordnung,order,ung
die,Bewegung,movement,ung
die,Hoffnung,hope,ung
die,Rechnung,bill / invoice,ung
die,Werbung,advertising,ung
die,Freiheit,freedom,heit
die,Gesundheit,health,heit
die,Wahrheit,truth,heit
die,Schönheit,beauty,heit
die,Einheit,unity,heit
die,Sicherheit,safety,heit
die,Möglichkeit,possibility,keit
die,Freundlichkeit,friendliness,keit
die,Fähigkeit,ability,keit
die,Einsamkeit,loneliness,keit
die,Persönlichkeit,personality,keit
die,Wirklichkeit,reality,keit
die,Freundschaft,friendship,schaft
die,Wirtschaft,economy,schaft
die,Wissenschaft,science,schaft
die,Gesellschaft,society,schaft
die,Mannschaft,team,schaft
die,Eigenschaft,property / trait,schaft
die,Leidenschaft,passion,schaft
die,Universität,university,taet
die,Qualität,quality,taet
die,Realität,reality,taet
die,Identität,identity,taet
die,Aktivität,activity,taet
die,Kreativität,creativity,taet
die,Information,information,tion
die,Situation,situation,tion
die,Diskussion,discussion,tion
die,Produktion,production,tion
die,Nation,nation,tion
die,Station,station,tion
die,Lektion,lesson,tion
die,Kommunikation,communication,tion
die,Musik,music,ik
die,Grammatik,grammar,ik
die,Politik,politics,ik
die,Technik,technology,ik
die,Republik,republic,ik
die,Klinik,clinic,ik
die,Energie,energy,ie
die,Theorie,theory,ie
die,Demokratie,democracy,ie
die,Kategorie,category,ie
die,Fantasie,fantasy,ie
die,Melodie,melody,ie
die,Bäckerei,bakery,ei
die,Polizei,police,ei
die,Türkei,Turkey,ei
die,Metzgerei,butcher's,ei
die,Schreinerei,carpentry,ei
die,Kultur,culture,ur
die,Natur,nature,ur
die,Frisur,hairstyle,ur
die,Figur,figure,ur
die,Temperatur,temperature,ur
die,Struktur,structure,ur
die,Lampe,lamp,e_f
die,Straße,street,e_f
die,Katze,cat,e_f
die,Blume,flower,e_f
die,Schule,school,e_f
die,Sprache,language,e_f
die,Küche,kitchen,e_f
die,Tasche,bag,e_f
die,Brille,glasses,e_f
die,Treppe,staircase,e_f
die,Grenze,border,e_f
der,Name,name,e_m_exc
der,Junge,boy,e_m_exc
das,Ende,end,e_n_exc
das,Mädchen,girl,chen
das,Brötchen,bread roll,chen
das,Hähnchen,chicken,chen
das,Kätzchen,kitten,chen
das,Hündchen,puppy,chen
das,Büchlein,little book,lein
das,Fräulein,young woman,lein
das,Studium,studies,um
das,Zentrum,centre,um
das,Museum,museum,um
das,Datum,date,um
das,Aquarium,aquarium,um
das,Gymnasium,grammar school,um
das,Instrument,instrument,ment
das,Experiment,experiment,ment
das,Dokument,document,ment
das,Argument,argument,ment
das,Fundament,foundation,ment
das,Parlament,parliament,ment
das,Thema,topic / theme,ma
das,Trauma,trauma,ma
das,Drama,drama,ma
das,Komma,comma,ma
das,Schema,scheme,ma
das,Ergebnis,result,nis
das,Erlebnis,experience,nis
das,Geheimnis,secret,nis
das,Zeugnis,certificate,nis
das,Verständnis,understanding,nis
die,Kenntnis,knowledge,nis_f_exc
die,Erlaubnis,permission,nis_f_exc
das,Eigentum,property,tum
das,Wachstum,growth,tum
der,Reichtum,wealth,tum_m_exc
der,Irrtum,error,tum_m_exc
das,Gepäck,luggage,ge_prefix
das,Gemüse,vegetables,ge_prefix
das,Geschenk,gift,ge_prefix
das,Gebäude,building,ge_prefix
das,Getränk,drink,ge_prefix
das,Gebirge,mountains,ge_prefix
das,Gesetz,law,ge_prefix
der,Geschmack,taste,ge_m_exc
die,Geschichte,history / story,ge_f_exc
das,Training,training,ing_loan
das,Meeting,meeting,ing_loan
das,Camping,camping,ing_loan
das,Shopping,shopping,ing_loan
das,Jogging,jogging,ing_loan
das,Ranking,ranking,ing_loan
der,Hund,dog,
der,Mann,man,
das,Kind,child,
der,Tisch,table,
das,Buch,book,
der,Baum,tree,
die,Stadt,city,
das,Wasser,water,
der,Zug,train,
das,Geld,money,
das,Zimmer,room,
der,Himmel,sky,
das,Meer,sea,
der,Berg,mountain,
das,Licht,light,
die,Zeit,time,
das,Jahr,year,
der,Tag,day,
die,Nacht,night,
das,Herz,heart,
der,Kopf,head,
die,Hand,hand,
das,Auge,eye,
der,Weg,path,
die,Welt,world,
das,Leben,life,
der,Mensch,person,
die,Arbeit,work,
die,Frau,woman,
die,Sonne,sun,
die,Gabel,fork,
das,Messer,knife,er_n_exc
der,Teller,plate,er_m
das,Gericht,cutlery,ge_prefix
